Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,Australia,99% Dark & Pure,25/02/2022,"$10,486.00",1970-01-01 00:00:00.000000198
Jan Morforth,Australia,Mint Chip Choco,22/02/2022,"$17,626.00",1970-01-01 00:00:00.000000103
Oby Sorrel,New Zealand,Milk Bars,12/01/2022,"$4,494.00",1970-01-01 00:00:00.000000187
Brien Boise,UK,Almond Choco,25/05/2022,$105.00,1970-01-01 00:00:00.000000125
Kelci Walkden,India,Smooth Sliky Salty,01/02/2022,"$2,464.00",1970-01-01 00:00:00.000000008
Rafaelita Blaksland,UK,Eclairs,27/04/2022,"$1,379.00",1970-01-01 00:00:00.000000070
Gigi Bohling,USA,Smooth Sliky Salty,22/07/2022,"$2,583.00",1970-01-01 00:00:00.000000126
Curtice Advani,New Zealand,Mint Chip Choco,26/01/2022,"$3,220.00",1970-01-01 00:00:00.000000265
Curtice Advani,USA,Mint Chip Choco,24/08/2022,"$4,802.00",1970-01-01 00:00:00.000000296
Madelene Upcott,New Zealand,Fruit & Nut Bars,18/01/2022,"$5,677.00",1970-01-01 00:00:00.000000021
Karlen McCaffrey,India,85% Dark Bars,30/03/2022,$945.00,1970-01-01 00:00:00.000000083
Ches Bonnell,Australia,Caramel Stuffed Bars,17/01/2022,"$8,757.00",1970-01-01 00:00:00.000000162
Kelci Walkden,USA,Fruit & Nut Bars,17/02/2022,"$4,816.00",1970-01-01 00:00:00.000000145
Kelci Walkden,Canada,Peanut Butter Cubes,08/04/2022,"$7,532.00",1970-01-01 00:00:00.000000044
Gigi Bohling,Canada,Drinking Coco,06/07/2022,"$3,549.00",1970-01-01 00:00:00.000000082
Husein Augar,India,Fruit & Nut Bars,04/04/2022,"$4,340.00",1970-01-01 00:00:00.000000226
Jan Morforth,New Zealand,Organic Choco Syrup,02/03/2022,"$1,799.00",1970-01-01 00:00:00.000000207
Gigi Bohling,New Zealand,Raspberry Choco,09/08/2022,"$1,127.00",1970-01-01 00:00:00.000000176
Dennison Crosswaite,Australia,Milk Bars,09/06/2022,"$10,038.00",1970-01-01 00:00:00.000000286
Ches Bonnell,UK,Caramel Stuffed Bars,02/06/2022,"$2,926.00",1970-01-01 00:00:00.000000300
Van Tuxwell,USA,Fruit & Nut Bars,05/07/2022,"$6,279.00",1970-01-01 00:00:00.000000235
Andria Kimpton,Canada,Eclairs,11/08/2022,$308.00,1970-01-01 00:00:00.000000125
Madelene Upcott,India,Choco Coated Almonds,11/02/2022,"$3,500.00",1970-01-01 00:00:00.000000145
Kelci Walkden,New Zealand,Spicy Special Slims,11/08/2022,$658.00,1970-01-01 00:00:00.000000065
Roddy Speechley,Australia,Drinking Coco,12/05/2022,"$12,565.00",1970-01-01 00:00:00.000000102
Wilone O'Kielt,USA,Milk Bars,15/07/2022,"$5,012.00",1970-01-01 00:00:00.000000093
Andria Kimpton,India,Organic Choco Syrup,18/01/2022,"$3,955.00",1970-01-01 00:00:00.000000134
Madelene Upcott,UK,Fruit & Nut Bars,05/01/2022,"$8,512.00",1970-01-01 00:00:00.000000189
Curtice Advani,Australia,50% Dark Bites,29/06/2022,$504.00,1970-01-01 00:00:00.000000232
Brien Boise,Canada,Raspberry Choco,14/06/2022,"$2,800.00",1970-01-01 00:00:00.000000045
Gunar Cockshoot,India,Mint Chip Choco,08/08/2022,"$4,256.00",1970-01-01 00:00:00.000000067
Dennison Crosswaite,India,Mint Chip Choco,23/03/2022,"$13,573.00",1970-01-01 00:00:00.000000138
Barr Faughny,India,Caramel Stuffed Bars,04/01/2022,"$6,566.00",1970-01-01 00:00:00.000000099
Brien Boise,India,Milk Bars,22/02/2022,"$13,503.00",1970-01-01 00:00:00.000000251
Beverie Moffet,UK,Spicy Special Slims,17/02/2022,"$8,680.00",1970-01-01 00:00:00.000000252
Barr Faughny,USA,Almond Choco,03/02/2022,$385.00,1970-01-01 00:00:00.000000078
Van Tuxwell,Canada,Raspberry Choco,17/03/2022,"$1,267.00",1970-01-01 00:00:00.000000130
Wilone O'Kielt,Australia,Baker's Choco Chips,25/01/2022,"$2,961.00",1970-01-01 00:00:00.000000154
Brien Boise,Australia,Milk Bars,27/07/2022,"$1,981.00",1970-01-01 00:00:00.000000052
Husein Augar,Australia,Fruit & Nut Bars,28/01/2022,"$7,959.00",1970-01-01 00:00:00.000000053
Madelene Upcott,Australia,Organic Choco Syrup,05/07/2022,"$10,794.00",1970-01-01 00:00:00.000000050
Van Tuxwell,India,White Choc,15/03/2022,"$1,897.00",1970-01-01 00:00:00.000000044
Gunar Cockshoot,Canada,After Nines,04/08/2022,"$2,744.00",1970-01-01 00:00:00.000000200
Jan Morforth,USA,Fruit & Nut Bars,27/06/2022,"$4,382.00",1970-01-01 00:00:00.000000361
Jan Morforth,Canada,After Nines,13/07/2022,"$4,515.00",1970-01-01 00:00:00.000000172
Barr Faughny,New Zealand,Manuka Honey Choco,24/02/2022,"$5,474.00",1970-01-01 00:00:00.000000239
Karlen McCaffrey,New Zealand,85% Dark Bars,28/06/2022,"$6,069.00",1970-01-01 00:00:00.000000055
Oby Sorrel,Australia,85% Dark Bars,30/06/2022,"$6,944.00",1970-01-01 00:00:00.000000027
Curtice Advani,Canada,Choco Coated Almonds,18/08/2022,"$5,859.00",1970-01-01 00:00:00.000000007
Kaine Padly,India,70% Dark Bites,24/01/2022,"$12,173.00",1970-01-01 00:00:00.000000301
Beverie Moffet,USA,White Choc,11/03/2022,"$5,292.00",1970-01-01 00:00:00.000000134
Ches Bonnell,New Zealand,After Nines,23/06/2022,"$5,705.00",1970-01-01 00:00:00.000000350
Husein Augar,India,Spicy Special Slims,22/08/2022,"$2,492.00",1970-01-01 00:00:00.000000033
Gunar Cockshoot,Canada,50% Dark Bites,04/01/2022,"$3,024.00",1970-01-01 00:00:00.000000023
Curtice Advani,India,Milk Bars,05/04/2022,"$3,437.00",1970-01-01 00:00:00.000000201
Beverie Moffet,India,Milk Bars,15/04/2022,"$1,869.00",1970-01-01 00:00:00.000000323
Husein Augar,Australia,White Choc,11/05/2022,"$3,171.00",1970-01-01 00:00:00.000000220
Andria Kimpton,Canada,Manuka Honey Choco,21/07/2022,"$4,858.00",1970-01-01 00:00:00.000000488
Jan Morforth,New Zealand,Orange Choco,11/02/2022,"$1,225.00",1970-01-01 00:00:00.000000084
Andria Kimpton,Canada,Smooth Sliky Salty,08/07/2022,"$1,155.00",1970-01-01 00:00:00.000000079
Gunar Cockshoot,UK,Raspberry Choco,11/08/2022,"$6,811.00",1970-01-01 00:00:00.000000344
Husein Augar,New Zealand,After Nines,04/08/2022,"$6,433.00",1970-01-01 00:00:00.000000007
Andria Kimpton,New Zealand,Orange Choco,14/06/2022,"$8,169.00",1970-01-01 00:00:00.000000088
Dennison Crosswaite,UK,Baker's Choco Chips,17/01/2022,"$2,275.00",1970-01-01 00:00:00.000000275
Jehu Rudeforth,Canada,Orange Choco,23/06/2022,"$3,857.00",1970-01-01 00:00:00.000000512
Jehu Rudeforth,UK,Smooth Sliky Salty,24/08/2022,"$1,463.00",1970-01-01 00:00:00.000000113
Andria Kimpton,UK,Caramel Stuffed Bars,07/06/2022,"$7,924.00",1970-01-01 00:00:00.000000275
Jan Morforth,UK,White Choc,22/06/2022,"$8,799.00",1970-01-01 00:00:00.000000047
Dotty Strutley,USA,Fruit & Nut Bars,13/07/2022,"$2,898.00",1970-01-01 00:00:00.000000276
Kelci Walkden,UK,Choco Coated Almonds,24/05/2022,"$9,506.00",1970-01-01 00:00:00.000000212
Gunar Cockshoot,New Zealand,After Nines,09/08/2022,"$7,175.00",1970-01-01 00:00:00.000000145
Kaine Padly,Canada,85% Dark Bars,06/04/2022,"$1,729.00",1970-01-01 00:00:00.000000031
Jan Morforth,New Zealand,Manuka Honey Choco,28/07/2022,"$1,589.00",1970-01-01 00:00:00.000000271
Gunar Cockshoot,New Zealand,Raspberry Choco,24/08/2022,$630.00,1970-01-01 00:00:00.000000052
Van Tuxwell,Australia,99% Dark & Pure,17/01/2022,$112.00,1970-01-01 00:00:00.000000128
Curtice Advani,USA,Drinking Coco,07/02/2022,"$5,187.00",1970-01-01 00:00:00.000000142
Brien Boise,Australia,Spicy Special Slims,09/05/2022,"$6,223.00",1970-01-01 00:00:00.000000256
Mallorie Waber,New Zealand,85% Dark Bars,06/06/2022,"$7,714.00",1970-01-01 00:00:00.000000106
Wilone O'Kielt,USA,Choco Coated Almonds,06/06/2022,"$9,457.00",1970-01-01 00:00:00.000000006
Beverie Moffet,New Zealand,Organic Choco Syrup,24/05/2022,"$6,678.00",1970-01-01 00:00:00.000000226
Gunar Cockshoot,UK,50% Dark Bites,13/01/2022,"$2,107.00",1970-01-01 00:00:00.000000121
Marney O'Breen,USA,Raspberry Choco,23/05/2022,"$6,069.00",1970-01-01 00:00:00.000000151
Jehu Rudeforth,UK,White Choc,29/06/2022,"$1,862.00",1970-01-01 00:00:00.000000284
Jehu Rudeforth,New Zealand,85% Dark Bars,11/03/2022,"$6,972.00",1970-01-01 00:00:00.000000089
Dotty Strutley,USA,85% Dark Bars,25/04/2022,"$10,220.00",1970-01-01 00:00:00.000000508
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30/05/2022,"$3,969.00",1970-01-01 00:00:00.000000243
Curtice Advani,India,Manuka Honey Choco,23/05/2022,"$1,547.00",1970-01-01 00:00:00.000000170
Mallorie Waber,USA,Peanut Butter Cubes,23/05/2022,"$1,162.00",1970-01-01 00:00:00.000000018
Van Tuxwell,Canada,Peanut Butter Cubes,24/06/2022,"$6,342.00",1970-01-01 00:00:00.000000282
Kelci Walkden,New Zealand,Smooth Sliky Salty,11/03/2022,"$10,633.00",1970-01-01 00:00:00.000000277
Rafaelita Blaksland,USA,Smooth Sliky Salty,27/07/2022,"$15,057.00",1970-01-01 00:00:00.000000212
Rafaelita Blaksland,USA,White Choc,16/08/2022,"$4,704.00",1970-01-01 00:00:00.000000126
Roddy Speechley,Canada,Smooth Sliky Salty,07/03/2022,"$9,338.00",1970-01-01 00:00:00.000000011
Curtice Advani,New Zealand,After Nines,05/04/2022,"$7,959.00",1970-01-01 00:00:00.000000030
Camilla Castle,India,85% Dark Bars,04/05/2022,"$9,023.00",1970-01-01 00:00:00.000000051
Ches Bonnell,USA,Choco Coated Almonds,04/01/2022,"$14,525.00",1970-01-01 00:00:00.000000092
Marney O'Breen,Australia,Baker's Choco Chips,13/01/2022,"$5,810.00",1970-01-01 00:00:00.000000101
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11/07/2022,"$6,426.00",1970-01-01 00:00:00.000000098
Kaine Padly,Australia,Mint Chip Choco,17/05/2022,"$4,403.00",1970-01-01 00:00:00.000000159
Camilla Castle,New Zealand,Peanut Butter Cubes,21/07/2022,"$1,582.00",1970-01-01 00:00:00.000000062
Curtice Advani,Canada,Organic Choco Syrup,22/02/2022,$791.00,1970-01-01 00:00:00.000000022
Jan Morforth,India,99% Dark & Pure,23/05/2022,"$9,100.00",1970-01-01 00:00:00.000000187
Rafaelita Blaksland,Canada,Drinking Coco,12/07/2022,"$9,884.00",1970-01-01 00:00:00.000000200
Jan Morforth,UK,Orange Choco,15/06/2022,"$3,780.00",1970-01-01 00:00:00.000000201
Barr Faughny,New Zealand,50% Dark Bites,23/06/2022,"$4,557.00",1970-01-01 00:00:00.000000308
Curtice Advani,Australia,Eclairs,25/03/2022,"$5,796.00",1970-01-01 00:00:00.000000055
Jan Morforth,India,Caramel Stuffed Bars,04/07/2022,$84.00,1970-01-01 00:00:00.000000153
Andria Kimpton,UK,White Choc,12/05/2022,"$9,037.00",1970-01-01 00:00:00.000000101
Camilla Castle,New Zealand,Raspberry Choco,04/04/2022,"$4,746.00",1970-01-01 00:00:00.000000137
Madelene Upcott,Australia,Orange Choco,15/04/2022,"$6,713.00",1970-01-01 00:00:00.000000398
Roddy Speechley,Canada,Eclairs,08/03/2022,"$6,237.00",1970-01-01 00:00:00.000000088
Karlen McCaffrey,India,White Choc,17/01/2022,"$7,483.00",1970-01-01 00:00:00.000000232
Wilone O'Kielt,India,Mint Chip Choco,22/08/2022,"$1,309.00",1970-01-01 00:00:00.000000051
Andria Kimpton,UK,99% Dark & Pure,25/07/2022,"$1,155.00",1970-01-01 00:00:00.000000066
Marney O'Breen,UK,50% Dark Bites,14/06/2022,"$2,989.00",1970-01-01 00:00:00.000000124
Ches Bonnell,India,Choco Coated Almonds,05/04/2022,"$9,625.00",1970-01-01 00:00:00.000000078
Madelene Upcott,UK,Raspberry Choco,26/08/2022,"$7,357.00",1970-01-01 00:00:00.000000341
Wilone O'Kielt,Australia,50% Dark Bites,03/08/2022,"$10,031.00",1970-01-01 00:00:00.000000114
Gigi Bohling,Canada,White Choc,11/07/2022,"$6,587.00",1970-01-01 00:00:00.000000004
Wilone O'Kielt,New Zealand,Eclairs,11/03/2022,"$3,311.00",1970-01-01 00:00:00.000000022
Brien Boise,UK,Peanut Butter Cubes,10/01/2022,"$15,330.00",1970-01-01 00:00:00.000000030
Roddy Speechley,UK,Baker's Choco Chips,04/04/2022,"$14,028.00",1970-01-01 00:00:00.000000351
Karlen McCaffrey,Australia,50% Dark Bites,17/01/2022,"$6,678.00",1970-01-01 00:00:00.000000708
Marney O'Breen,New Zealand,Organic Choco Syrup,08/07/2022,"$8,624.00",1970-01-01 00:00:00.000000050
Jan Morforth,UK,Organic Choco Syrup,12/04/2022,"$1,197.00",1970-01-01 00:00:00.000000356
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24/08/2022,$483.00,1970-01-01 00:00:00.000000185
Ches Bonnell,UK,Choco Coated Almonds,07/06/2022,"$1,687.00",1970-01-01 00:00:00.000000236
Gunar Cockshoot,Canada,Almond Choco,28/07/2022,"$1,309.00",1970-01-01 00:00:00.000000030
Husein Augar,USA,99% Dark & Pure,21/02/2022,"$9,534.00",1970-01-01 00:00:00.000000111
Dennison Crosswaite,Canada,Mint Chip Choco,08/04/2022,"$1,694.00",1970-01-01 00:00:00.000000289
Brien Boise,UK,Manuka Honey Choco,28/06/2022,$70.00,1970-01-01 00:00:00.000000103
Van Tuxwell,UK,Baker's Choco Chips,24/03/2022,"$2,443.00",1970-01-01 00:00:00.000000020
Barr Faughny,Australia,Caramel Stuffed Bars,29/07/2022,"$2,933.00",1970-01-01 00:00:00.000000055
Dennison Crosswaite,USA,Eclairs,25/05/2022,"$2,044.00",1970-01-01 00:00:00.000000090
Gigi Bohling,Australia,Raspberry Choco,30/03/2022,"$6,524.00",1970-01-01 00:00:00.000000303
Dennison Crosswaite,USA,Organic Choco Syrup,18/07/2022,"$12,656.00",1970-01-01 00:00:00.000000126
Beverie Moffet,Canada,Orange Choco,10/05/2022,"$8,722.00",1970-01-01 00:00:00.000000109
Mallorie Waber,Australia,Choco Coated Almonds,18/03/2022,"$15,750.00",1970-01-01 00:00:00.000000092
Ches Bonnell,India,Caramel Stuffed Bars,15/06/2022,"$6,839.00",1970-01-01 00:00:00.000000056
Van Tuxwell,Canada,50% Dark Bites,12/05/2022,"$13,685.00",1970-01-01 00:00:00.000000058
Kelci Walkden,New Zealand,Baker's Choco Chips,23/06/2022,"$2,912.00",1970-01-01 00:00:00.000000110
Beverie Moffet,India,Spicy Special Slims,21/04/2022,"$3,339.00",1970-01-01 00:00:00.000000171
Gigi Bohling,Australia,Almond Choco,17/08/2022,$910.00,1970-01-01 00:00:00.000000117
Rafaelita Blaksland,New Zealand,Eclairs,07/02/2022,"$19,481.00",1970-01-01 00:00:00.000000051
Kelci Walkden,Canada,Smooth Sliky Salty,17/03/2022,"$8,099.00",1970-01-01 00:00:00.000000118
Jan Morforth,India,Baker's Choco Chips,01/08/2022,"$13,727.00",1970-01-01 00:00:00.000000079
Jehu Rudeforth,Australia,Milk Bars,18/03/2022,"$8,659.00",1970-01-01 00:00:00.000000029
Gigi Bohling,Canada,Fruit & Nut Bars,14/06/2022,"$5,782.00",1970-01-01 00:00:00.000000103
Beverie Moffet,UK,Eclairs,22/04/2022,"$8,463.00",1970-01-01 00:00:00.000000155
Marney O'Breen,New Zealand,Eclairs,18/01/2022,"$4,914.00",1970-01-01 00:00:00.000000031
Husein Augar,Australia,99% Dark & Pure,26/08/2022,"$3,087.00",1970-01-01 00:00:00.000000128
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10/06/2022,"$9,205.00",1970-01-01 00:00:00.000000419
Curtice Advani,Canada,70% Dark Bites,31/01/2022,"$2,303.00",1970-01-01 00:00:00.000000007
Kelci Walkden,New Zealand,Manuka Honey Choco,08/04/2022,"$1,358.00",1970-01-01 00:00:00.000000106
Dotty Strutley,Australia,Baker's Choco Chips,07/06/2022,"$3,605.00",1970-01-01 00:00:00.000000068
Barr Faughny,Australia,85% Dark Bars,10/02/2022,"$8,498.00",1970-01-01 00:00:00.000000044
Beverie Moffet,Australia,50% Dark Bites,16/05/2022,$700.00,1970-01-01 00:00:00.000000457
Gunar Cockshoot,India,Baker's Choco Chips,18/03/2022,"$2,191.00",1970-01-01 00:00:00.000000524
Van Tuxwell,Australia,50% Dark Bites,13/07/2022,$644.00,1970-01-01 00:00:00.000000137
Oby Sorrel,USA,Manuka Honey Choco,25/07/2022,"$4,340.00",1970-01-01 00:00:00.000000086
Van Tuxwell,Canada,Choco Coated Almonds,19/08/2022,"$2,282.00",1970-01-01 00:00:00.000000296
Karlen McCaffrey,Canada,70% Dark Bites,24/06/2022,"$7,714.00",1970-01-01 00:00:00.000000597
Kelci Walkden,Canada,Fruit & Nut Bars,20/06/2022,$826.00,1970-01-01 00:00:00.000000149
Camilla Castle,India,99% Dark & Pure,02/08/2022,$203.00,1970-01-01 00:00:00.000000207
Madelene Upcott,New Zealand,70% Dark Bites,22/02/2022,"$13,356.00",1970-01-01 00:00:00.000000093
Mallorie Waber,New Zealand,Orange Choco,01/02/2022,"$6,510.00",1970-01-01 00:00:00.000000023
Jan Morforth,Canada,70% Dark Bites,14/02/2022,"$5,894.00",1970-01-01 00:00:00.000000305
Kelci Walkden,Australia,Milk Bars,24/02/2022,"$7,910.00",1970-01-01 00:00:00.000000125
Dennison Crosswaite,India,Orange Choco,18/03/2022,$784.00,1970-01-01 00:00:00.000000129
Husein Augar,UK,Eclairs,30/08/2022,"$1,750.00",1970-01-01 00:00:00.000000252
Gigi Bohling,USA,Peanut Butter Cubes,09/05/2022,$280.00,1970-01-01 00:00:00.000000075
Wilone O'Kielt,USA,Smooth Sliky Salty,18/01/2022,$504.00,1970-01-01 00:00:00.000000087
Curtice Advani,India,White Choc,04/07/2022,"$7,154.00",1970-01-01 00:00:00.000000342
Oby Sorrel,New Zealand,Spicy Special Slims,03/06/2022,"$1,617.00",1970-01-01 00:00:00.000000013
Beverie Moffet,New Zealand,Peanut Butter Cubes,23/02/2022,"$10,822.00",1970-01-01 00:00:00.000000030
Dotty Strutley,New Zealand,99% Dark & Pure,09/05/2022,"$10,724.00",1970-01-01 00:00:00.000000203
Kelci Walkden,India,70% Dark Bites,06/06/2022,"$3,640.00",1970-01-01 00:00:00.000000106
Kelci Walkden,India,Drinking Coco,04/07/2022,"$7,532.00",1970-01-01 00:00:00.000000234
Brien Boise,New Zealand,Drinking Coco,06/06/2022,"$1,582.00",1970-01-01 00:00:00.000000100
Dotty Strutley,Australia,Almond Choco,13/05/2022,"$1,456.00",1970-01-01 00:00:00.000000091
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31/01/2022,"$2,016.00",1970-01-01 00:00:00.000000277
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30/06/2022,"$7,588.00",1970-01-01 00:00:00.000000042
Barr Faughny,Canada,Manuka Honey Choco,25/08/2022,"$3,402.00",1970-01-01 00:00:00.000000249
Gigi Bohling,New Zealand,Smooth Sliky Salty,10/01/2022,$700.00,1970-01-01 00:00:00.000000097
Brien Boise,USA,Manuka Honey Choco,22/08/2022,"$1,904.00",1970-01-01 00:00:00.000000008
Roddy Speechley,New Zealand,85% Dark Bars,14/04/2022,"$4,844.00",1970-01-01 00:00:00.000000275
Oby Sorrel,UK,Smooth Sliky Salty,31/05/2022,"$9,625.00",1970-01-01 00:00:00.000000313
Oby Sorrel,UK,Raspberry Choco,08/04/2022,"$4,599.00",1970-01-01 00:00:00.000000323
Roddy Speechley,USA,Drinking Coco,21/02/2022,"$3,003.00",1970-01-01 00:00:00.000000155
Andria Kimpton,Australia,Manuka Honey Choco,30/03/2022,"$9,744.00",1970-01-01 00:00:00.000000377
Mallorie Waber,India,Raspberry Choco,02/03/2022,"$1,400.00",1970-01-01 00:00:00.000000002
Jehu Rudeforth,USA,Orange Choco,28/07/2022,$364.00,1970-01-01 00:00:00.000000170
Kaine Padly,New Zealand,70% Dark Bites,24/03/2022,"$7,231.00",1970-01-01 00:00:00.000000038
Curtice Advani,Australia,After Nines,11/08/2022,$63.00,1970-01-01 00:00:00.000000105
Husein Augar,UK,Almond Choco,17/05/2022,"$8,309.00",1970-01-01 00:00:00.000000166
Kaine Padly,Canada,Choco Coated Almonds,18/05/2022,"$3,164.00",1970-01-01 00:00:00.000000164
Roddy Speechley,UK,Peanut Butter Cubes,17/08/2022,"$5,691.00",1970-01-01 00:00:00.000000171
Ches Bonnell,New Zealand,Eclairs,04/04/2022,$490.00,1970-01-01 00:00:00.000000049
Brien Boise,India,85% Dark Bars,09/08/2022,"$18,032.00",1970-01-01 00:00:00.000000205
Brien Boise,New Zealand,Organic Choco Syrup,17/01/2022,$637.00,1970-01-01 00:00:00.000000313
Andria Kimpton,Canada,White Choc,14/02/2022,"$4,067.00",1970-01-01 00:00:00.000000029
Gigi Bohling,New Zealand,Orange Choco,16/05/2022,"$8,204.00",1970-01-01 00:00:00.000000307
Ches Bonnell,Canada,Smooth Sliky Salty,16/03/2022,"$9,870.00",1970-01-01 00:00:00.000000121
Husein Augar,Canada,70% Dark Bites,31/01/2022,"$5,131.00",1970-01-01 00:00:00.000000285
Barr Faughny,Canada,Organic Choco Syrup,10/03/2022,"$1,141.00",1970-01-01 00:00:00.000000205
Oby Sorrel,UK,Organic Choco Syrup,30/06/2022,"$7,980.00",1970-01-01 00:00:00.000000157
Van Tuxwell,New Zealand,Eclairs,01/03/2022,"$5,229.00",1970-01-01 00:00:00.000000182
Mallorie Waber,UK,Drinking Coco,27/05/2022,"$3,423.00",1970-01-01 00:00:00.000000100
Oby Sorrel,UK,Milk Bars,11/07/2022,"$6,468.00",1970-01-01 00:00:00.000000223
Karlen McCaffrey,New Zealand,Mint Chip Choco,02/03/2022,"$4,326.00",1970-01-01 00:00:00.000000061
Jehu Rudeforth,USA,Raspberry Choco,04/03/2022,"$7,154.00",1970-01-01 00:00:00.000000133
Kelci Walkden,UK,85% Dark Bars,23/06/2022,"$3,997.00",1970-01-01 00:00:00.000000228
Kelci Walkden,USA,Almond Choco,27/01/2022,"$5,180.00",1970-01-01 00:00:00.000000233
Marney O'Breen,Canada,Orange Choco,14/01/2022,"$2,723.00",1970-01-01 00:00:00.000000425
Dennison Crosswaite,India,Fruit & Nut Bars,29/07/2022,$952.00,1970-01-01 00:00:00.000000024
Brien Boise,Canada,Smooth Sliky Salty,13/05/2022,"$5,691.00",1970-01-01 00:00:00.000000495
Barr Faughny,Canada,Baker's Choco Chips,03/02/2022,"$10,969.00",1970-01-01 00:00:00.000000170
Brien Boise,India,Smooth Sliky Salty,27/05/2022,"$5,964.00",1970-01-01 00:00:00.000000026
Jan Morforth,Australia,Drinking Coco,18/02/2022,"$2,821.00",1970-01-01 00:00:00.000000024
Brien Boise,India,Spicy Special Slims,28/01/2022,"$1,302.00",1970-01-01 00:00:00.000000033
Van Tuxwell,UK,Eclairs,29/06/2022,"$5,474.00",1970-01-01 00:00:00.000000109
Wilone O'Kielt,India,Caramel Stuffed Bars,13/01/2022,"$4,179.00",1970-01-01 00:00:00.000000276
Jehu Rudeforth,UK,After Nines,27/06/2022,"$1,946.00",1970-01-01 00:00:00.000000164
Barr Faughny,Canada,White Choc,29/03/2022,"$4,291.00",1970-01-01 00:00:00.000000001
Gunar Cockshoot,India,Organic Choco Syrup,03/06/2022,"$7,196.00",1970-01-01 00:00:00.000000160
Mallorie Waber,Canada,Smooth Sliky Salty,21/03/2022,"$1,939.00",1970-01-01 00:00:00.000000098
Mallorie Waber,India,Eclairs,12/04/2022,"$10,437.00",1970-01-01 00:00:00.000000046
Rafaelita Blaksland,Australia,Raspberry Choco,19/01/2022,"$6,916.00",1970-01-01 00:00:00.000000259
Karlen McCaffrey,UK,50% Dark Bites,06/04/2022,"$3,647.00",1970-01-01 00:00:00.000000310
Kaine Padly,Australia,50% Dark Bites,02/08/2022,"$8,995.00",1970-01-01 00:00:00.000000078
Gigi Bohling,Australia,Eclairs,12/04/2022,"$7,252.00",1970-01-01 00:00:00.000000136
Oby Sorrel,India,Drinking Coco,21/07/2022,"$16,380.00",1970-01-01 00:00:00.000000130
Van Tuxwell,New Zealand,Baker's Choco Chips,22/03/2022,"$9,660.00",1970-01-01 00:00:00.000000024
Husein Augar,India,Peanut Butter Cubes,09/05/2022,"$4,522.00",1970-01-01 00:00:00.000000005
Andria Kimpton,Australia,Baker's Choco Chips,09/08/2022,$329.00,1970-01-01 00:00:00.000000109
Madelene Upcott,Canada,Choco Coated Almonds,20/07/2022,"$3,458.00",1970-01-01 00:00:00.000000294
Brien Boise,India,70% Dark Bites,14/04/2022,"$4,641.00",1970-01-01 00:00:00.000000413
Jehu Rudeforth,Canada,White Choc,25/01/2022,"$4,627.00",1970-01-01 00:00:00.000000136
Andria Kimpton,Australia,Almond Choco,25/04/2022,"$3,192.00",1970-01-01 00:00:00.000000175
Dotty Strutley,Canada,After Nines,17/01/2022,$252.00,1970-01-01 00:00:00.000000237
Karlen McCaffrey,USA,Eclairs,15/08/2022,$868.00,1970-01-01 00:00:00.000000125
Karlen McCaffrey,Canada,Fruit & Nut Bars,02/06/2022,$210.00,1970-01-01 00:00:00.000000016
Gunar Cockshoot,USA,85% Dark Bars,30/06/2022,"$7,007.00",1970-01-01 00:00:00.000000135
Dotty Strutley,New Zealand,Raspberry Choco,10/02/2022,"$5,845.00",1970-01-01 00:00:00.000000091
Marney O'Breen,Canada,Caramel Stuffed Bars,23/02/2022,"$1,372.00",1970-01-01 00:00:00.000000614
Dennison Crosswaite,India,Organic Choco Syrup,27/01/2022,"$8,428.00",1970-01-01 00:00:00.000000216
Camilla Castle,UK,Mint Chip Choco,26/05/2022,"$4,977.00",1970-01-01 00:00:00.000000317
Brien Boise,USA,70% Dark Bites,14/04/2022,"$1,694.00",1970-01-01 00:00:00.000000021
Madelene Upcott,Australia,99% Dark & Pure,01/08/2022,"$4,326.00",1970-01-01 00:00:00.000000154
Mallorie Waber,Australia,Eclairs,22/08/2022,"$9,527.00",1970-01-01 00:00:00.000000222
Marney O'Breen,India,99% Dark & Pure,22/07/2022,"$10,766.00",1970-01-01 00:00:00.000000157
Husein Augar,USA,Fruit & Nut Bars,28/04/2022,"$1,288.00",1970-01-01 00:00:00.000000027
Kelci Walkden,Australia,Almond Choco,30/05/2022,"$4,879.00",1970-01-01 00:00:00.000000350
Ches Bonnell,USA,Milk Bars,21/07/2022,"$2,408.00",1970-01-01 00:00:00.000000157
Jan Morforth,UK,Caramel Stuffed Bars,02/08/2022,"$3,094.00",1970-01-01 00:00:00.000000468
Brien Boise,New Zealand,70% Dark Bites,15/06/2022,"$7,231.00",1970-01-01 00:00:00.000000130
Oby Sorrel,India,85% Dark Bars,05/07/2022,"$8,981.00",1970-01-01 00:00:00.000000130
Kaine Padly,New Zealand,Smooth Sliky Salty,12/04/2022,$7.00,1970-01-01 00:00:00.000000518
Gigi Bohling,Australia,70% Dark Bites,18/08/2022,"$1,372.00",1970-01-01 00:00:00.000000105
